CountyNames,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,hasCoalMine
ADAIR,0.08786473956913007,0.09755042448494025,0.11498840407744998,0.12419242885364942,0.1448327615780446,0.16521830726286407,0.16018802154853704,0.15451788328801505,0.11307237047035615,0.09753679156664231,0.10119943922322032,0.11463680199097838,0.10719308297307151,0.10123945422351838,No
ALLEN,0.07129514321295143,0.07067553735926305,0.08382901502167557,0.07793649992428449,0.07752054519943877,0.08113600317208565,0.07972518782127323,0.08072455207718054,0.0665105157858781,0.061955469506292354,0.07185946624197674,0.06061330909438836,0.049900577596818485,0.04630541871921182,No
ANDERSON,0.11857302987475023,0.13929234725463116,0.14392071320182095,0.14445798949737435,0.14462443396666821,0.1601743646818772,0.14317322762054024,0.1140847013381156,0.07883665630144504,0.07011861313868613,0.09012662791221666,0.08871146595697493,0.07751424407049158,0.0768013364399701,No
BALLARD,0.08203315455875183,0.08693528693528693,0.08179068360556564,0.10421745490004876,0.11128621651109226,0.10859837948966018,0.09149064574532287,0.07186136694134755,0.06033219345383488,0.058300876338851025,0.0654983842903306,0.054377650286854574,0.049924924924924924,0.056795131845841784,No
BARREN,0.13740607484641554,0.152793532038132,0.15639878460176568,0.16276588176709114,0.18708652455362434,0.2137000543465419,0.2148473255568334,0.21128630318839228,0.14033090114792954,0.13849722132916917,0.16566505952516966,0.15827732821286516,0.1467528051683101,0.13785622273949694,No
BATH,0.0685239660840976,0.07672188317349608,0.08070747832059758,0.07666320166320166,0.07963074799413337,0.09406743491250534,0.10390492359932088,0.09110647181628392,0.08408903544929926,0.06072277308858477,0.05103707333006696,0.04531136418706082,0.04162648666023787,0.04512,No
BELL,0.27040745856353593,0.2783218726123498,0.2810722707726453,0.2853106359228381,0.307552891150535,0.3246213971665852,0.312296704850799,0.30630373515036924,0.23754761733630417,0.21227621483375958,0.1979120717541538,0.19208576852920373,0.1662324914108808,0.15780577750460972,Yes
BOONE,0.13855162633240312,0.14826192257007514,0.14997136957540214,0.15199938703058888,0.16267012313674659,0.16191767315750555,0.15316987002884647,0.1360640527267201,0.10625448976530862,0.08391008185017283,0.08320270572882482,0.08673407049911418,0.08844512172007794,0.0810519460102859,No
BOURBON,0.12039981826442527,0.13644361771655522,0.1438192158036516,0.14485444649722873,0.15491618714035527,0.167073961398434,0.1596009975062344,0.13427544192549684,0.10446272749937671,0.09406922542893979,0.08474913065077,0.07172008759705355,0.06979518791012129,0.07327673337376188,No
BOYD,0.21582981829980533,0.22419335150750702,0.2506295183169523,0.23785503018516269,0.21333414072907836,0.20189446839516667,0.19092312692995286,0.18389934533551555,0.14041559080290175,0.10123579047265376,0.10299037842106357,0.09787064926372155,0.08889452761566438,0.08887366753713773,Yes
BOYLE,0.15265242053440833,0.16270631758679568,0.17781391402714933,0.1651058416086511,0.16611564434440068,0.1638888888888889,0.15823569951757407,0.18841117710583152,0.14679637705467963,0.10157141897790611,0.10008343066911396,0.09225276925130121,0.08097865833388737,0.08792415169660679,No
BRACKEN,0.06647807637906648,0.06199811053377421,0.05017117223468304,0.04437625398324088,0.05678605089538172,0.07309048178613396,0.05944221224296856,0.05247536507182714,0.05227898073932288,0.03437876960193004,0.04744263862332696,0.03922751961375981,0.03841507610533945,0.04323738407804408,No
BREATHITT,0.228812976836896,0.2417114538982341,0.2647203312513159,0.27689342565493613,0.30508718835567084,0.346000435129451,0.33448427857772556,0.2756708804612996,0.1837498129582523,0.15976951283394447,0.15011004022159824,0.12878026142779797,0.11832329709861578,0.12335708630245447,Yes
